Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,﻿
twi_clips\twi_clip_002.wav,﻿
twi_clips\twi_clip_003.wav,﻿
twi_clips\twi_clip_004.wav,"﻿That which you made me ask the carpenter to make,"
twi_clips\twi_clip_005.wav,﻿The table..
twi_clips\twi_clip_006.wav,﻿The table...
twi_clips\twi_clip_007.wav,"﻿Yes, he says I should bring him the money"
twi_clips\twi_clip_008.wav,﻿so I've cpme for the money to deliver to him.
twi_clips\twi_clip_009.wav,﻿He's finished so he's asking f0£his money?
twi_clips\twi_clip_010.wav,"﻿Yes,"
twi_clips\twi_clip_011.wav,﻿Has he finished or he's asking you to come and check it?
twi_clips\twi_clip_012.wav,"﻿No, he says he has finished so I should bring the money."
twi_clips\twi_clip_013.wav,﻿Have^yOu seen it?
twi_clips\twi_clip_014.wav,"﻿Yes, he's finished sb I'll ju^t pay him and bring it home."
twi_clips\twi_clip_015.wav,﻿
twi_clips\twi_clip_016.wav,﻿The money isn't a problem.
twi_clips\twi_clip_017.wav,﻿There's something I've been meaning to discuss with you.
twi_clips\twi_clip_018.wav,﻿Speak then.
twi_clips\twi_clip_019.wav,﻿What is it?
twi_clips\twi_clip_020.wav,﻿I have to put things in order today.
twi_clips\twi_clip_021.wav,﻿What is it?
twi_clips\twi_clip_022.wav,﻿
twi_clips\twi_clip_023.wav,﻿I love the way you sell water.
twi_clips\twi_clip_024.wav,﻿You carry water and don't even get far before people start calling out for you.
twi_clips\twi_clip_025.wav,﻿Do you have something special you use to sell your water?
twi_clips\twi_clip_026.wav,﻿You're very hardworking.
twi_clips\twi_clip_027.wav,﻿I have been promoted in this station.
twi_clips\twi_clip_028.wav,﻿Haven't youJf^pi?7
twi_clips\twi_clip_029.wav,﻿Haven't yttuWfl1?f
twi_clips\twi_clip_030.wav,﻿Do you mean you?
twi_clips\twi_clip_031.wav,﻿I've been promoted!
twi_clips\twi_clip_032.wav,﻿Th^nk you Lord!
twi_clips\twi_clip_033.wav,﻿I've been promoted and now I have a share in every car that loads passengers.
twi_clips\twi_clip_034.wav,﻿You?
twi_clips\twi_clip_035.wav,﻿Haven't you heard?
twi_clips\twi_clip_036.wav,﻿You are now a boss?
twi_clips\twi_clip_037.wav,﻿I am so happy for you.
twi_clips\twi_clip_038.wav,﻿I am so happy for you.
twi_clips\twi_clip_039.wav,﻿I am so happy for you.
twi_clips\twi_clip_040.wav,﻿Because of that my boss has increased my pay.
twi_clips\twi_clip_041.wav,﻿We thank God.
twi_clips\twi_clip_042.wav,"﻿Yes, he's increased my pay!"
twi_clips\twi_clip_043.wav,﻿Very soon I'd have my own car.
twi_clips\twi_clip_044.wav,﻿I have to find a suitable woman and settle down.
twi_clips\twi_clip_045.wav,﻿A woman?
twi_clips\twi_clip_046.wav,﻿Yes.
twi_clips\twi_clip_047.wav,﻿So hav^you^found one?
twi_clips\twi_clip_048.wav,﻿Did you ask if I've found one?
twi_clips\twi_clip_049.wav,﻿Yes.
twi_clips\twi_clip_050.wav,﻿Why would I look for another woman when there's one sitting by me?
twi_clips\twi_clip_051.wav,﻿Which woman?
twi_clips\twi_clip_052.wav,﻿
twi_clips\twi_clip_053.wav,﻿
twi_clips\twi_clip_054.wav,﻿But I am the only woman here.
twi_clips\twi_clip_055.wav,﻿
twi_clips\twi_clip_056.wav,﻿That's what I'm saying.
twi_clips\twi_clip_057.wav,﻿I don't understand what you're saying.
twi_clips\twi_clip_058.wav,﻿What do you mean?
twi_clips\twi_clip_059.wav,﻿Why don't you understand?
twi_clips\twi_clip_060.wav,﻿Do you know any poultry farmer who chews any other meat but chicken?
twi_clips\twi_clip_061.wav,﻿He chews chicken.
