Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,"﻿aS I

9

«"
twi_clips\twi_clip_002.wav,﻿6
twi_clips\twi_clip_003.wav,﻿
twi_clips\twi_clip_004.wav,﻿You're not a burden on me.
twi_clips\twi_clip_005.wav,"﻿, A’^^1^^/"
twi_clips\twi_clip_006.wav,﻿
twi_clips\twi_clip_007.wav,﻿In life when you scold a person you're encouraging him or her.
twi_clips\twi_clip_008.wav,﻿Life is a teacher .
twi_clips\twi_clip_009.wav,﻿
twi_clips\twi_clip_010.wav,﻿The downfall of a man is not the end of his life.
twi_clips\twi_clip_011.wav,"﻿0 «

o

?^^ as

o .^"
twi_clips\twi_clip_012.wav,﻿
twi_clips\twi_clip_013.wav,﻿w^wiittow^
twi_clips\twi_clip_014.wav,﻿I know what am telling you
twi_clips\twi_clip_015.wav,﻿I know what am telling you.
twi_clips\twi_clip_016.wav,﻿
twi_clips\twi_clip_017.wav,﻿It's time I tell you the truth.
twi_clips\twi_clip_018.wav,﻿I want you to know the motherly love I have for you.
twi_clips\twi_clip_019.wav,﻿
twi_clips\twi_clip_020.wav,﻿
twi_clips\twi_clip_021.wav,﻿I want you to rise on your feet.
twi_clips\twi_clip_022.wav,﻿Am not driving you away.
twi_clips\twi_clip_023.wav,﻿
twi_clips\twi_clip_024.wav,﻿I want you to go and start life again.
twi_clips\twi_clip_025.wav,﻿
twi_clips\twi_clip_026.wav,﻿
twi_clips\twi_clip_027.wav,﻿
twi_clips\twi_clip_028.wav,﻿Gather strenght.
twi_clips\twi_clip_029.wav,﻿There's hope for a tree that is cut down to grow again.
twi_clips\twi_clip_030.wav,﻿With water it will grow .
twi_clips\twi_clip_031.wav,﻿I know you will grow back again.
twi_clips\twi_clip_032.wav,﻿I want you to prepare and leave here to start life
twi_clips\twi_clip_033.wav,﻿In the City and work hard.
twi_clips\twi_clip_034.wav,﻿
twi_clips\twi_clip_035.wav,﻿That's the reason why I called you.
twi_clips\twi_clip_036.wav,﻿Mother/
twi_clips\twi_clip_037.wav,﻿I will go if you say so/
twi_clips\twi_clip_038.wav,﻿I want to know if there's any of my relatives in the City?
twi_clips\twi_clip_039.wav,﻿My family is here.
twi_clips\twi_clip_040.wav,﻿<?|ffi£l^
twi_clips\twi_clip_041.wav,"﻿What exactly arh

I going to do' in th.6 C.ity ?"
twi_clips\twi_clip_042.wav,﻿My parents are not there neither do I know someone there.
twi_clips\twi_clip_043.wav,﻿There's no job waiting for me there.
twi_clips\twi_clip_044.wav,﻿What am I going to do there now?
twi_clips\twi_clip_045.wav,"﻿

o

o

o"
twi_clips\twi_clip_046.wav,﻿Not all people are born in the City.
twi_clips\twi_clip_047.wav,﻿People came from different towns and Villages to form the City.
