Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,ï»¿
twi_clips\twi_clip_002.wav,USU A NTE
twi_clips\twi_clip_003.wav,ï»¿
twi_clips\twi_clip_004.wav,•^••^W’ ^>
twi_clips\twi_clip_005.wav,ï»¿
twi_clips\twi_clip_006.wav,ï»¿
twi_clips\twi_clip_007.wav,ï»¿
twi_clips\twi_clip_008.wav,ï»¿
twi_clips\twi_clip_009.wav,?. c ^-Z
twi_clips\twi_clip_010.wav,ï»¿
twi_clips\twi_clip_011.wav,^
twi_clips\twi_clip_012.wav,"tv, ^-"
twi_clips\twi_clip_013.wav,ï»¿
twi_clips\twi_clip_014.wav,ï»¿
twi_clips\twi_clip_015.wav,ï»¿
twi_clips\twi_clip_016.wav,OSWBp i^o^^
twi_clips\twi_clip_017.wav,ï»¿
twi_clips\twi_clip_018.wav,Q@@»§ramW02 (teEfe@fec6fl£»a
twi_clips\twi_clip_019.wav,ASSISTANT EDITOR Dacosta Asare
twi_clips\twi_clip_020.wav,EDITING & MUSIC SCORE
twi_clips\twi_clip_021.wav,"P nm!?)1 ! '""^ ^liro M^tro lAArihLvH/ l"
twi_clips\twi_clip_022.wav,PRODUCTION
twi_clips\twi_clip_023.wav,Can't you see she is a nice wQman?
twi_clips\twi_clip_024.wav,mine?
twi_clips\twi_clip_025.wav,How? What do you mean?
twi_clips\twi_clip_026.wav,Don't you see it will be ni^e if I have affair with her?
twi_clips\twi_clip_027.wav,[laughter]
twi_clips\twi_clip_028.wav,I can make if happen!
twi_clips\twi_clip_029.wav,Help me to haye her.
twi_clips\twi_clip_030.wav,"If you help me to have her,"
twi_clips\twi_clip_031.wav,you can^t imagine what I will do for you.
twi_clips\twi_clip_032.wav,Don't worry. Money is not my problem.
twi_clips\twi_clip_033.wav,I can make it happen!
twi_clips\twi_clip_034.wav,I don't spend money on any building or ear.
twi_clips\twi_clip_035.wav,I spend my mopLey on pleasure.
twi_clips\twi_clip_036.wav,How are you?
twi_clips\twi_clip_037.wav,ï»¿
twi_clips\twi_clip_038.wav,Somebody is very much interested in you
twi_clips\twi_clip_039.wav,ï»¿
twi_clips\twi_clip_040.wav,ï»¿
twi_clips\twi_clip_041.wav,-Is it you?
twi_clips\twi_clip_042.wav,"hie, interested in you for what?"
twi_clips\twi_clip_043.wav,And I am also not interested in you.
twi_clips\twi_clip_044.wav,Aduana is deepl in love with you.
twi_clips\twi_clip_045.wav,ï»¿
twi_clips\twi_clip_046.wav,Don^you know it is his own car? ^-You lie.
twi_clips\twi_clip_047.wav,Tilly
twi_clips\twi_clip_048.wav,Don't you need the car key for anythin ?
twi_clips\twi_clip_049.wav,ï»¿
twi_clips\twi_clip_050.wav,ï»¿
twi_clips\twi_clip_051.wav,ï»¿
twi_clips\twi_clip_052.wav,ï»¿
twi_clips\twi_clip_053.wav,ï»¿
twi_clips\twi_clip_054.wav,ï»¿
twi_clips\twi_clip_055.wav,Don't you see_this is my own car? I carn burn it right now.
twi_clips\twi_clip_056.wav,ï»¿
twi_clips\twi_clip_057.wav,Won't you eat any thing?
twi_clips\twi_clip_058.wav,Won'tjjgu ejf£*arnything? The wGHWn'^fbdjd is ready
twi_clips\twi_clip_059.wav,If you ar^ rnterested^ I ca’if.bjjy s^me for you.
twi_clips\twi_clip_060.wav,Is a nice food. I buy some home every day.
twi_clips\twi_clip_061.wav,So you will go home after close of work?
twi_clips\twi_clip_062.wav,-Yes
twi_clips\twi_clip_063.wav,Then you sleep
twi_clips\twi_clip_064.wav,"In your house. -Yes, that is where I live."
twi_clips\twi_clip_065.wav,ï»¿
twi_clips\twi_clip_066.wav,I just don't know what to say. It's like I am short of words.
twi_clips\twi_clip_067.wav,I amjiust trying to say^s’omM'hjng.
twi_clips\twi_clip_068.wav,Then I gues you bath every morning before comin to work.
twi_clips\twi_clip_069.wav,Why wouldn't I batft You donr't you bath?
twi_clips\twi_clip_070.wav,Sometimes I don't Uafe.
twi_clips\twi_clip_071.wav,You will break the chair.
twi_clips\twi_clip_072.wav,I thought it was my car.
twi_clips\twi_clip_073.wav,Don't you need the food right now?
twi_clips\twi_clip_074.wav,I neecl it. Then l5t?s go'.
twi_clips\twi_clip_075.wav,"Gan't you driwe, so I could giXe;you the car."
twi_clips\twi_clip_076.wav,Unless you take me to driving school.
twi_clips\twi_clip_077.wav,Go and buy the rice.
twi_clips\twi_clip_078.wav,Let's go and let me buy it for you.
twi_clips\twi_clip_079.wav,Why?
twi_clips\twi_clip_080.wav,What do you mean by that?
twi_clips\twi_clip_081.wav,It's ok let's go.
twi_clips\twi_clip_082.wav,My customers will meet my absence so just go-.
twi_clips\twi_clip_083.wav,Alright take the kay. ^have money in the car. Don't let anyone take it.
twi_clips\twi_clip_084.wav,ï»¿
twi_clips\twi_clip_085.wav,ï»¿
twi_clips\twi_clip_086.wav,Where are you going
twi_clips\twi_clip_087.wav,I am in need of money so I am going to collect my money.
twi_clips\twi_clip_088.wav,What d® you sell that you have people owing you?
twi_clips\twi_clip_089.wav,ï»¿
twi_clips\twi_clip_090.wav,What do you mean by that question?
twi_clips\twi_clip_091.wav,I work hard but you don't know.
twi_clips\twi_clip_092.wav,What do you sell?
twi_clips\twi_clip_093.wav,I gave some pants out on credit so I am going to collect the moneys.
twi_clips\twi_clip_094.wav,How did you get capital for that business?
twi_clips\twi_clip_095.wav,These are the things I don't like about you.
twi_clips\twi_clip_096.wav,This is how you always spoil my day.
twi_clips\twi_clip_097.wav,ï»¿
twi_clips\twi_clip_098.wav,"Anytime I meet you like this, I don't make money."
twi_clips\twi_clip_099.wav,•^< wy
twi_clips\twi_clip_100.wav,ï»¿
twi_clips\twi_clip_101.wav,What is your problem?
twi_clips\twi_clip_102.wav,My problem is that you are worrying me.
twi_clips\twi_clip_103.wav,I have not seen this dress on you before.
twi_clips\twi_clip_104.wav,When did you buy it or this one too you went to borrow?
twi_clips\twi_clip_105.wav,Grand mother why? So don't I have any money on my own?
twi_clips\twi_clip_106.wav,Do you know all the clothes I have?
twi_clips\twi_clip_107.wav,"The other time, you just came to wash one here."
twi_clips\twi_clip_108.wav,ï»¿
twi_clips\twi_clip_109.wav,The way you were quick in washing it makes it suspecious.
twi_clips\twi_clip_110.wav,Why do you talk about my dressing -I have not seen it before.
twi_clips\twi_clip_111.wav,Do you know all the clothes I have?
twi_clips\twi_clip_112.wav,I don't like that.
twi_clips\twi_clip_113.wav,You don't listen to me. Look at your hairstyle.
twi_clips\twi_clip_114.wav,You can't even turn your neck.
twi_clips\twi_clip_115.wav,won't live my life like you
twi_clips\twi_clip_116.wav,I have taken a different pattern.
twi_clips\twi_clip_117.wav,You have a nice name but you don't like it.
twi_clips\twi_clip_118.wav,You call your self empress.
twi_clips\twi_clip_119.wav,It is a modern name. It didn't come in your days.
twi_clips\twi_clip_120.wav,Be careful with your life.
twi_clips\twi_clip_121.wav,You are repeating your mother's bad lifestyle.
twi_clips\twi_clip_122.wav,ï»¿
twi_clips\twi_clip_123.wav,So humble yourself.
twi_clips\twi_clip_124.wav,"If I get in to any problem, does it concern you?"
twi_clips\twi_clip_125.wav,That is how your mother lived a reckless life.
twi_clips\twi_clip_126.wav,She brought me up the same way you brought her up to be reckless.
twi_clips\twi_clip_127.wav,Who did you want to copy?
twi_clips\twi_clip_128.wav,Y®u brought me up and I took after you.
twi_clips\twi_clip_129.wav,Children always take after the one that will bring them up.
twi_clips\twi_clip_130.wav,This is what you tell me todav. If you get your own problem take it.
twi_clips\twi_clip_131.wav,I> don't like that.
twi_clips\twi_clip_132.wav,I don't like that.
twi_clips\twi_clip_133.wav,ï»¿
twi_clips\twi_clip_134.wav,Why don't you put up a smiling face?
twi_clips\twi_clip_135.wav,Is ther^ fuel in my car?
twi_clips\twi_clip_136.wav,It seems I didnrt buy petrol.
twi_clips\twi_clip_137.wav,ï»¿
twi_clips\twi_clip_138.wav,We are here because of what happened last night.
twi_clips\twi_clip_139.wav,We we here beea^use of what happened last night.
twi_clips\twi_clip_140.wav,We are here to apologize.
twi_clips\twi_clip_141.wav,I d'onit want you to ahr^y me^
twi_clips\twi_clip_142.wav,Please just listen.
twi_clips\twi_clip_143.wav,He is not a drunkard. Why then did he go to drink?
twi_clips\twi_clip_144.wav,I am going to buy fuel ip my car.
twi_clips\twi_clip_145.wav,I am going to buy fuel in my car.
twi_clips\twi_clip_146.wav,No>w wh^is he trying to tell me?
twi_clips\twi_clip_147.wav,ï»¿
twi_clips\twi_clip_148.wav,ï»¿
twi_clips\twi_clip_149.wav,"The persojji who gave me tljie drink added sleeping,tablets."
twi_clips\twi_clip_150.wav,What we are pleading is for you to give him another chance.
twi_clips\twi_clip_151.wav,I mean he was just numb.
twi_clips\twi_clip_152.wav,"When I take alcohol, I feel weak."
twi_clips\twi_clip_153.wav,So you give him another chance.
twi_clips\twi_clip_154.wav,I won't give him another chance.
twi_clips\twi_clip_155.wav,I won't give him another chance.
twi_clips\twi_clip_156.wav,I won't give him another chance.
twi_clips\twi_clip_157.wav,That is why I didn't want t® accept the proposal.
twi_clips\twi_clip_158.wav,Do»l think I will give you something bad?
twi_clips\twi_clip_159.wav,You excuse me for a moment.
twi_clips\twi_clip_160.wav,You take this for the afternoon.
twi_clips\twi_clip_161.wav,Oh stop this.
twi_clips\twi_clip_162.wav,Y®g aw t®® tjr®ublesom’e.
twi_clips\twi_clip_163.wav,Please I was deceived into believing that
twi_clips\twi_clip_164.wav,Do you want to hurt me?
twi_clips\twi_clip_165.wav,Do you want to hurt me?
twi_clips\twi_clip_166.wav,S© tonight I will meet you with weed.
twi_clips\twi_clip_167.wav,Now they say I should take weed So tonight I will meet yOti. with weed.
twi_clips\twi_clip_168.wav,ï»¿
twi_clips\twi_clip_169.wav,Tell her you love her.
twi_clips\twi_clip_170.wav,He says I should say I love you.
twi_clips\twi_clip_171.wav,So you don't mean it.
twi_clips\twi_clip_172.wav,I mean it but was not prepared to say it today.
twi_clips\twi_clip_173.wav,Leave me alone.
twi_clips\twi_clip_174.wav,lam going s© take this.
twi_clips\twi_clip_175.wav,Somebody dropped it in my car so just take it.
twi_clips\twi_clip_176.wav,He says I should come back for the phone.
twi_clips\twi_clip_177.wav,"So you are also coming to take it, right?"
twi_clips\twi_clip_178.wav,He says I should take the phone and give you the car.
twi_clips\twi_clip_179.wav,ï»¿
twi_clips\twi_clip_180.wav,What are you doing?
twi_clips\twi_clip_181.wav,Are you going to use it now?
twi_clips\twi_clip_182.wav,Are you-going to use it now?
twi_clips\twi_clip_183.wav,I will use it at-work tomorrow morning.
twi_clips\twi_clip_184.wav,You can sleep. What about you?
twi_clips\twi_clip_185.wav,ï»¿
twi_clips\twi_clip_186.wav,ï»¿
twi_clips\twi_clip_187.wav,ï»¿
twi_clips\twi_clip_188.wav,Don't you feel the presence of a woman?
twi_clips\twi_clip_189.wav,I feel but you have not told me anything that is why.
twi_clips\twi_clip_190.wav,So can't you fondle my body
twi_clips\twi_clip_191.wav,Remember this is the second time.
twi_clips\twi_clip_192.wav,If I leave you will not have me again.
twi_clips\twi_clip_193.wav,I told m friend to help me but e didn't come.
twi_clips\twi_clip_194.wav,ï»¿
twi_clips\twi_clip_195.wav,►•v
twi_clips\twi_clip_196.wav,The scripture says the Lord will fight for me.
twi_clips\twi_clip_197.wav,So the Lord will perform for me.
twi_clips\twi_clip_198.wav,What do you want the Lord to do for you?
twi_clips\twi_clip_199.wav,What you want me to do.
twi_clips\twi_clip_200.wav,ï»¿
twi_clips\twi_clip_201.wav,VO
twi_clips\twi_clip_202.wav,^ *88
twi_clips\twi_clip_203.wav,He does spiritual things.
twi_clips\twi_clip_204.wav,Do you know what the Lord can do?
twi_clips\twi_clip_205.wav,ï»¿
twi_clips\twi_clip_206.wav,Put it down. There is time for everything.
twi_clips\twi_clip_207.wav,ï»¿
twi_clips\twi_clip_208.wav,wot
twi_clips\twi_clip_209.wav,ï»¿
twi_clips\twi_clip_210.wav,Put it down. There is time for everything.
twi_clips\twi_clip_211.wav,ï»¿
twi_clips\twi_clip_212.wav,^^^ ^mt x
twi_clips\twi_clip_213.wav,ï»¿
twi_clips\twi_clip_214.wav,ï»¿
twi_clips\twi_clip_215.wav,Are you not a man?
twi_clips\twi_clip_216.wav,Are you not a man?
twi_clips\twi_clip_217.wav,ï»¿
twi_clips\twi_clip_218.wav,So your you have lost your teeth.
twi_clips\twi_clip_219.wav,That is why I said I will not do it.
twi_clips\twi_clip_220.wav,/You want to poison me with your teeth.
twi_clips\twi_clip_221.wav,It is accident
twi_clips\twi_clip_222.wav,You want to poison me with your teeth.
twi_clips\twi_clip_223.wav,Everybody will hear of this at the station.
twi_clips\twi_clip_224.wav,Please give my teeth to me.
twi_clips\twi_clip_225.wav,ï»¿
twi_clips\twi_clip_226.wav,ï»¿
twi_clips\twi_clip_227.wav,ï»¿
twi_clips\twi_clip_228.wav,ï»¿
twi_clips\twi_clip_229.wav,ï»¿
twi_clips\twi_clip_230.wav,ï»¿
twi_clips\twi_clip_231.wav,What do you care for?
twi_clips\twi_clip_232.wav,Ga.n you fetch me Hennesey?
twi_clips\twi_clip_233.wav,That is not a problem.
twi_clips\twi_clip_234.wav,ï»¿
twi_clips\twi_clip_235.wav,Let me have a shower.
twi_clips\twi_clip_236.wav,I can't wait.
twi_clips\twi_clip_237.wav,Alright just because of the sweat. Go ahead
twi_clips\twi_clip_238.wav,Wait for me.
twi_clips\twi_clip_239.wav,^^
twi_clips\twi_clip_240.wav,Should I go for the drink myself?
twi_clips\twi_clip_241.wav,ï»¿
twi_clips\twi_clip_242.wav,Should I go for the drink myself?
twi_clips\twi_clip_243.wav,ï»¿
twi_clips\twi_clip_244.wav,I will be ealihg the girl to fetch it for you
twi_clips\twi_clip_245.wav,b
twi_clips\twi_clip_246.wav,ï»¿
twi_clips\twi_clip_247.wav,Pardon me.
twi_clips\twi_clip_248.wav,I want to go for it myself.
twi_clips\twi_clip_249.wav,I want to go-for it myself.
twi_clips\twi_clip_250.wav,ï»¿
twi_clips\twi_clip_251.wav,How many bottles should I take.
twi_clips\twi_clip_252.wav,Just a bottle for your self alone.
twi_clips\twi_clip_253.wav,Which flavor should I take?
twi_clips\twi_clip_254.wav,I am going to fetch the drink.
twi_clips\twi_clip_255.wav,ï»¿
twi_clips\twi_clip_256.wav,Why has she gone with her bag
twi_clips\twi_clip_257.wav,ï»¿
twi_clips\twi_clip_258.wav,ï»¿
twi_clips\twi_clip_259.wav,This is emergency dropping.
twi_clips\twi_clip_260.wav,How much is your daily sale to claim 4 million?
twi_clips\twi_clip_261.wav,Where are you going
twi_clips\twi_clip_262.wav,Just drive on.
twi_clips\twi_clip_263.wav,Don't you have air condition in your car?
twi_clips\twi_clip_264.wav,There is a fault with it.
twi_clips\twi_clip_265.wav,Is somebody after you?
twi_clips\twi_clip_266.wav,My mother has been involved in an accident.
twi_clips\twi_clip_267.wav,Let pie drive faster. Where are you going?
twi_clips\twi_clip_268.wav,Take me to the hospital.
twi_clips\twi_clip_269.wav,No drive me home. She is in the house.
twi_clips\twi_clip_270.wav,My brakes are not working.
twi_clips\twi_clip_271.wav,Slow down becatise I am ©ut of danger.
twi_clips\twi_clip_272.wav,^
twi_clips\twi_clip_273.wav,ï»¿
twi_clips\twi_clip_274.wav,My brakes are not working.
twi_clips\twi_clip_275.wav,I have been involved with four accidents with four cars.
twi_clips\twi_clip_276.wav,This is the only car that is yet to be involved in accident.
twi_clips\twi_clip_277.wav,Then let rhe alight in front there.
twi_clips\twi_clip_278.wav,Just look forward and drive.
twi_clips\twi_clip_279.wav,You fair ladies are spending our money.
twi_clips\twi_clip_280.wav,If I get you in my bed -
twi_clips\twi_clip_281.wav,Let me take that turp to avoid the traffic.
twi_clips\twi_clip_282.wav,Are you taking me back after escaping?
twi_clips\twi_clip_283.wav,Escaping from what?
twi_clips\twi_clip_284.wav,I can make you really laugh
twi_clips\twi_clip_285.wav,It makes people enjoy my car.
twi_clips\twi_clip_286.wav,You are funny.
twi_clips\twi_clip_287.wav,It makes people enjoy my car.
twi_clips\twi_clip_288.wav,I will alight at this place.
twi_clips\twi_clip_289.wav,ï»¿
twi_clips\twi_clip_290.wav,I will call you any time I need you.
twi_clips\twi_clip_291.wav,Now we are friends.
twi_clips\twi_clip_292.wav,Do you have t^show y&ur teeth to apply tlpe brakes?
twi_clips\twi_clip_293.wav,You are funny.
twi_clips\twi_clip_294.wav,Give me your number.
twi_clips\twi_clip_295.wav,N© I will rather take yours.
twi_clips\twi_clip_296.wav,Give me your number.
twi_clips\twi_clip_297.wav,No I will rather take yours.
twi_clips\twi_clip_298.wav,If I don't take your number you won't call me.
twi_clips\twi_clip_299.wav,I need you as a friend so I will call you.
twi_clips\twi_clip_300.wav,You don't love me?
twi_clips\twi_clip_301.wav,What is your name?
twi_clips\twi_clip_302.wav,ï»¿
twi_clips\twi_clip_303.wav,When you sail I will tell you on the phone.
