Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,ï»¿
twi_clips\twi_clip_002.wav,e
twi_clips\twi_clip_003.wav,ï»¿
twi_clips\twi_clip_004.wav,^»
twi_clips\twi_clip_005.wav,ï»¿
twi_clips\twi_clip_006.wav,What have you done to me?!
twi_clips\twi_clip_007.wav,Mother!
twi_clips\twi_clip_008.wav,"Come, my eyes!"
twi_clips\twi_clip_009.wav,What's the matter?
twi_clips\twi_clip_010.wav,I can't see!
twi_clips\twi_clip_011.wav,I can't see.
twi_clips\twi_clip_012.wav,"Where are you going, mother?"
twi_clips\twi_clip_013.wav,What's wrong with you?
twi_clips\twi_clip_014.wav,My eyes.
twi_clips\twi_clip_015.wav,What's wrong with your eyes?
twi_clips\twi_clip_016.wav,Blow on it.
twi_clips\twi_clip_017.wav,What's wrong with you?
twi_clips\twi_clip_018.wav,I can't see.
twi_clips\twi_clip_019.wav,You oa 't ee?
twi_clips\twi_clip_020.wav,Where am I?
twi_clips\twi_clip_021.wav,"Stop what you're doing, mother!"
twi_clips\twi_clip_022.wav,Why can't you see?
twi_clips\twi_clip_023.wav,Stop that sifter!
twi_clips\twi_clip_024.wav,Mother said she can't see so take it easy on her.
twi_clips\twi_clip_025.wav,Don't say that!
twi_clips\twi_clip_026.wav,What can't she see?!
twi_clips\twi_clip_027.wav,Is it cloudy?
twi_clips\twi_clip_028.wav,Is it cloudy?
twi_clips\twi_clip_029.wav,"I'm waving my hanfl, mother."
twi_clips\twi_clip_030.wav,Where's your hand?
twi_clips\twi_clip_031.wav,I'm wavingJt!
twi_clips\twi_clip_032.wav,"What's happening to you, mother?"
twi_clips\twi_clip_033.wav,Is it time for chOrch?!
twi_clips\twi_clip_034.wav,"Stop what you're doing, mother!"
twi_clips\twi_clip_035.wav,But I can't see anything!
twi_clips\twi_clip_036.wav,Stand there because this is the door!
twi_clips\twi_clip_037.wav,—I can't see.
twi_clips\twi_clip_038.wav,I can't see.
twi_clips\twi_clip_039.wav,"Stop what you're doing, mother!"
twi_clips\twi_clip_040.wav,Are you sure you can't see?
twi_clips\twi_clip_041.wav,Get me some water!
twi_clips\twi_clip_042.wav,"Mother, don't do this, please."
twi_clips\twi_clip_043.wav,Stop what you're doing!
twi_clips\twi_clip_044.wav,I've brought the water.
twi_clips\twi_clip_045.wav,"Bow your head, mother."
twi_clips\twi_clip_046.wav,Open your eyes now.
twi_clips\twi_clip_047.wav,It seems you've caught dust in your eyes.
twi_clips\twi_clip_048.wav,You've put water in my nose.
twi_clips\twi_clip_049.wav,Open your eyes.
twi_clips\twi_clip_050.wav,It seems you've caught dust in your eyes.
twi_clips\twi_clip_051.wav,Can you see now?
twi_clips\twi_clip_052.wav,Where are you?
twi_clips\twi_clip_053.wav,I'm right here.
twi_clips\twi_clip_054.wav,You'll break my neck.
twi_clips\twi_clip_055.wav,Oh mother!
twi_clips\twi_clip_056.wav,"Don't move forward, mother!"
twi_clips\twi_clip_057.wav,Where am I?
twi_clips\twi_clip_058.wav,What's the meaning of what you're doing?
twi_clips\twi_clip_059.wav,I said I can't see.
twi_clips\twi_clip_060.wav,So you can't see my hand?
twi_clips\twi_clip_061.wav,Where's your hand?
twi_clips\twi_clip_062.wav,Where's your hand?
twi_clips\twi_clip_063.wav,"So you really can't see, mother!"
twi_clips\twi_clip_064.wav,Would I lie about not been able to see?
twi_clips\twi_clip_065.wav,"Don't do this, mother!"
twi_clips\twi_clip_066.wav,Come and let's go to your room!
twi_clips\twi_clip_067.wav,I won't go to my room!
twi_clips\twi_clip_068.wav,Then where would you rather go?!
twi_clips\twi_clip_069.wav,I won't go to my room.
