Twi Audio Clip,English Text,,
\twi_clips\twi_clip_001.wav,@£^If® ^fe.!sl j^^feii,,
\twi_clips\twi_clip_002.wav,"Comfort, how are you?",,
\twi_clips\twi_clip_003.wav,"You will do nothing if I am not okay, so I am working hard to take care of myself.",,
\twi_clips\twi_clip_004.wav,That one is possible.,,
\twi_clips\twi_clip_005.wav,"Lopk^atfall these dirt-around, where are the kids7",,
\twi_clips\twi_clip_006.wav,"Is too early oo, is too early!!!",,
\twi_clips\twi_clip_007.wav,Hmmmm,,
\twi_clips\twi_clip_008.wav,"Doctor Monfncd just called me right now,the doctor wh*d Wok karc'Of :m'e wh'en i was ss’ck",,
\twi_clips\twi_clip_009.wav,Ik II,,
\twi_clips\twi_clip_010.wav,"He c-alled to ask if i had] eaten, ■and*i said 'no",,
\twi_clips\twi_clip_011.wav,"he asked why, and i replied i dont have money on me",,
\twi_clips\twi_clip_012.wav,"and'He said rcould die beacuse, sake of my situation i d3nt have to starve myself",,
\twi_clips\twi_clip_013.wav,And i said i have no money on me,,
\twi_clips\twi_clip_014.wav,"He asked of you, and i said you are outside selling",,
\twi_clips\twi_clip_015.wav,ist 4,,
\twi_clips\twi_clip_016.wav,"And then I remembered,",,
\twi_clips\twi_clip_017.wav,/4csi ।,,
\twi_clips\twi_clip_018.wav,"Then death awaits you, you will die for me^get money from loved ones.",,
\twi_clips\twi_clip_019.wav,vvhy? ii,,
\twi_clips\twi_clip_020.wav,"Any job that i try to do, you collect the.money and missuse it",,
\twi_clips\twi_clip_021.wav,"Any business I try to lay my hands on, you collect the money,,an‘d missuse it",,
\twi_clips\twi_clip_022.wav,"Any business I try to lay my hands on, you collect the money and missuse it",,
\twi_clips\twi_clip_023.wav,As for this one my'eyes are widely open like a serpent,,
\twi_clips\twi_clip_024.wav,As for this one my eyes are widely open like a serpent,,
\twi_clips\twi_clip_025.wav,Last time you took^money I was suppose to spend with thse kids.,,
\twi_clips\twi_clip_026.wav,"You could have use it for food, but you used'it to buy cigaritte",,
\twi_clips\twi_clip_027.wav,"Go to the cigaritte seller, tell her you need your money",,
\twi_clips\twi_clip_028.wav,"Comfort, so should I die out of hunger?",,
\twi_clips\twi_clip_029.wav,A woman I have kids with and have taken care of you before,,
\twi_clips\twi_clip_030.wav,"And if now I am poor and you have money, should I( die out of hunger and go to hell with nry^iGknessP",,
\twi_clips\twi_clip_031.wav,Is that so Comfort7,,
\twi_clips\twi_clip_032.wav,You wont even get a dime 111,,
\twi_clips\twi_clip_033.wav,"Not evenja peny!!, I doht havei1.1’!? •",,
\twi_clips\twi_clip_034.wav,"Not even a peny!!, I dont have !!!!!",,
\twi_clips\twi_clip_035.wav,so there is no money on you as you*sit there7,,
\twi_clips\twi_clip_036.wav,do nt have a dime,,
\twi_clips\twi_clip_037.wav,So you haven't make any sales today7,,
\twi_clips\twi_clip_038.wav,"I said go to the cigaritte seller,! won't even give it to you if there have been sales.",,
\twi_clips\twi_clip_039.wav,Let me inspect your cloths if there is no money,,
\twi_clips\twi_clip_040.wav,"You have been misusing my sales air this while, when will I get a capital?'",,
\twi_clips\twi_clip_041.wav,"FIGHTING •""",,
\twi_clips\twi_clip_042.wav,$,,
\twi_clips\twi_clip_043.wav,Father,,
\twi_clips\twi_clip_044.wav,Gospi,,
\twi_clips\twi_clip_045.wav,A,,
\twi_clips\twi_clip_046.wav,Good morning oo,,
\twi_clips\twi_clip_047.wav,"Good morning oo, Gospi",,
\twi_clips\twi_clip_048.wav,Hope all is well?,,
\twi_clips\twi_clip_049.wav,"By the grace of GOD, this is how He has brought me",,
\twi_clips\twi_clip_050.wav,"Oh its okay, the Lord is alive everything will be just fine",,
\twi_clips\twi_clip_051.wav,This is my end,,
\twi_clips\twi_clip_052.wav,why?,,
\twi_clips\twi_clip_053.wav,"I'm messed up,",,
\twi_clips\twi_clip_054.wav,I'm finished,,
\twi_clips\twi_clip_055.wav,What is the matter,,
\twi_clips\twi_clip_056.wav,The end of a man is indeed a sad one !!,,
\twi_clips\twi_clip_057.wav,What at all is the matter7,,
\twi_clips\twi_clip_058.wav,Sound of a cutlass,,
\twi_clips\twi_clip_059.wav,Gospi look at where I'm staying as a care taker,,
\twi_clips\twi_clip_060.wav,This place...,,
\twi_clips\twi_clip_061.wav,What has it done?,,
\twi_clips\twi_clip_062.wav,"You withness the time i came, it was like a thick forest",,
\twi_clips\twi_clip_063.wav,We all know 11,,
\twi_clips\twi_clip_064.wav,Look al how i have struggled with different kinds of snakes in this house,,
\twi_clips\twi_clip_065.wav,I tried all my best and killed all these snakes for it to be a better place to stay,,
\twi_clips\twi_clip_066.wav,"All these pythons, Gospi you know what I'm talking about",,
\twi_clips\twi_clip_067.wav,You shouldn't be surprise if you are walking with animals of all this kind,,
\twi_clips\twi_clip_068.wav,The income of staying in someones house as a care taker is, fighting with reptiles.,
\twi_clips\twi_clip_069.wav,"We come to stay in animals kingdom, why are you so surprised",,
\twi_clips\twi_clip_070.wav,"As for last time I almos” slc:'t .. ‘h a sgaike in my room, if it hadn't been the drig iw againsr snakes",,
\twi_clips\twi_clip_071.wav,are you sure you have snakes drug?,,
\twi_clips\twi_clip_072.wav,"Oh yes i had a little if it, when i went to the North.",,
\twi_clips\twi_clip_073.wav,"That's how i have tried to make this house a better place, it hasn't even been that better",,
\twi_clips\twi_clip_074.wav,"You have done well, it's a house now.",,
\twi_clips\twi_clip_075.wav,Ofcourse...,,
\twi_clips\twi_clip_076.wav,My landlord always comes from the city and congratulate me for keeping here clean,,
\twi_clips\twi_clip_077.wav,Last time he came and i wanted to welcome him but he refused me.,,
\twi_clips\twi_clip_078.wav,"and i said oh why landlord, I respect you a lot",,
\twi_clips\twi_clip_079.wav,"and He told me the house is almost completed, so He is coming to complete it",,
\twi_clips\twi_clip_080.wav,Trouble has come 1 *,,
\twi_clips\twi_clip_081.wav,"so that my grandchildren will come and stay in, so pack from the house",,
\twi_clips\twi_clip_082.wav,The landlord told you to leave?,,
\twi_clips\twi_clip_083.wav,I should leave,,
\twi_clips\twi_clip_084.wav,And i said oh my landlord,,
\twi_clips\twi_clip_085.wav,PROVERB....,,
\twi_clips\twi_clip_086.wav,He said what is the meaning?,,
\twi_clips\twi_clip_087.wav,"And I said, Eeii an elder who doesn""t understand proverbs",,
\twi_clips\twi_clip_088.wav,I was the one that made this house a better one,,
\twi_clips\twi_clip_089.wav,and is not an abomination for a helper to enjoy his handy work,,
\twi_clips\twi_clip_090.wav,"To cut long story short, He is giving me three days to leave",,
\twi_clips\twi_clip_091.wav,"And i said oh please i beg you,",,
\twi_clips\twi_clip_092.wav,The law gives three months to sack someone from your house.,,
\twi_clips\twi_clip_093.wav,Do you even know what you are saying7,,
\twi_clips\twi_clip_094.wav,Why,,
\twi_clips\twi_clip_095.wav,have you rented a house to be given three months to move out?,,
