Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,"﻿El

'I.

h"
twi_clips\twi_clip_002.wav,"﻿*

0"
twi_clips\twi_clip_003.wav,﻿We're going to fetch water.
twi_clips\twi_clip_004.wav,﻿Okay.
twi_clips\twi_clip_005.wav,"﻿May God be with you, okay?"
twi_clips\twi_clip_006.wav,"﻿Be careful, okay?"
twi_clips\twi_clip_007.wav,﻿Don't wait till late before setting off.
twi_clips\twi_clip_008.wav,﻿We'll return home soon.
twi_clips\twi_clip_009.wav,﻿Yo u ' re hotfee I i n g we 11.
twi_clips\twi_clip_010.wav,"﻿, ^re ^y^^atisfie^d?"
twi_clips\twi_clip_011.wav,﻿\m full
twi_clips\twi_clip_012.wav,﻿
twi_clips\twi_clip_013.wav,﻿: VVe're.reaving-mother.
twi_clips\twi_clip_014.wav,﻿May God be with you.
twi_clips\twi_clip_015.wav,﻿May he protect you.
twi_clips\twi_clip_016.wav,﻿May he protect you.
twi_clips\twi_clip_017.wav,﻿Maybe he should go away.
twi_clips\twi_clip_018.wav,﻿Why?
twi_clips\twi_clip_019.wav,﻿Who will take care of mother?
twi_clips\twi_clip_020.wav,﻿Can I carry cassava and plant n.
twi_clips\twi_clip_021.wav,"﻿Can I ""work on the farm alone."
twi_clips\twi_clip_022.wav,﻿Who'll take care of mother?
twi_clips\twi_clip_023.wav,﻿God will take care of hen
twi_clips\twi_clip_024.wav,"﻿What if it's raining or an animal is coming to bite her,"
twi_clips\twi_clip_025.wav,﻿who'll take her inside?
twi_clips\twi_clip_026.wav,﻿Nothing will happen to her.
twi_clips\twi_clip_027.wav,﻿Nothing will happen to her.
twi_clips\twi_clip_028.wav,﻿Mother!
twi_clips\twi_clip_029.wav,﻿Are you still here?
twi_clips\twi_clip_030.wav,"﻿We are thinking about you, mother."
twi_clips\twi_clip_031.wav,"﻿jGodwill takp^aFe of me, okay?"
twi_clips\twi_clip_032.wav,﻿God will take care of me.
twi_clips\twi_clip_033.wav,"﻿Wfe are leaving, okay?"
twi_clips\twi_clip_034.wav,"﻿Please, take care of yourself, okay?"
twi_clips\twi_clip_035.wav,﻿Where will I go?
twi_clips\twi_clip_036.wav,﻿Where will I go?
twi_clips\twi_clip_037.wav,﻿s^y -MB WtM
twi_clips\twi_clip_038.wav,﻿
twi_clips\twi_clip_039.wav,﻿
twi_clips\twi_clip_040.wav,﻿
twi_clips\twi_clip_041.wav,﻿
twi_clips\twi_clip_042.wav,﻿
twi_clips\twi_clip_043.wav,﻿What's the meaning of what you're doing!
twi_clips\twi_clip_044.wav,"﻿£ Okay, mother."
twi_clips\twi_clip_045.wav,﻿M '
twi_clips\twi_clip_046.wav,"﻿-S 0 y 0 u'^tlJe^niy#e^hb I ikes her, rig ht?"
twi_clips\twi_clip_047.wav,"﻿So you're the only one who likes her, right?"
twi_clips\twi_clip_048.wav,﻿I amta bad person.
twi_clips\twi_clip_049.wav,"﻿Don't be like that, Achiaa."
twi_clips\twi_clip_050.wav,﻿’>-'<{ ^t wb^^
twi_clips\twi_clip_051.wav,﻿She is young that's why.
twi_clips\twi_clip_052.wav,﻿What's tha meaning of what she's doing?
twi_clips\twi_clip_053.wav,﻿Am 1 forcing her to come with me?!
twi_clips\twi_clip_054.wav,﻿Come and hug me as well.
twi_clips\twi_clip_055.wav,﻿Come and hug me as well.
twi_clips\twi_clip_056.wav,﻿
twi_clips\twi_clip_057.wav,"﻿We're leaving, mother."
twi_clips\twi_clip_058.wav,"﻿As the eldest,"
twi_clips\twi_clip_059.wav,﻿yo'u need to ignore some things.
twi_clips\twi_clip_060.wav,"﻿Please, will you drink water?"
twi_clips\twi_clip_061.wav,﻿Iced water!
twi_clips\twi_clip_062.wav,"﻿Please, will you drink water?"
twi_clips\twi_clip_063.wav,"﻿Please, who's calling me?"
twi_clips\twi_clip_064.wav,"﻿Mother,"
twi_clips\twi_clip_065.wav,﻿I am wild.
twi_clips\twi_clip_066.wav,﻿Thank you.
twi_clips\twi_clip_067.wav,﻿Should I come?
twi_clips\twi_clip_068.wav,﻿God bless you.
twi_clips\twi_clip_069.wav,﻿Man's iced water!
