Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,ï»¿
twi_clips\twi_clip_002.wav,What are you doing up there?
twi_clips\twi_clip_003.wav,Things are falling apart.
twi_clips\twi_clip_004.wav,MW./?
twi_clips\twi_clip_005.wav,"His-sic-kness is getting worse,and there's no money."
twi_clips\twi_clip_006.wav,So what are you doing up there?
twi_clips\twi_clip_007.wav,"I wanted to go and sell this,and send him to his hometown with the proceeds and take care of him there."
twi_clips\twi_clip_008.wav,ï»¿
twi_clips\twi_clip_009.wav,; ^
twi_clips\twi_clip_010.wav,You want to sell those utensils and take him to his village to take care if him?
twi_clips\twi_clip_011.wav,Have you told pastor about this?
twi_clips\twi_clip_012.wav,I'm just coming from his house.
twi_clips\twi_clip_013.wav,His wife told me he is not around so what can i do7
twi_clips\twi_clip_014.wav,His wife told you he is notaround?
twi_clips\twi_clip_015.wav,Yes.What else can i do?
twi_clips\twi_clip_016.wav,What is that woman talking about?
twi_clips\twi_clip_017.wav,I spoke with him this morning and hejs.at home.
twi_clips\twi_clip_018.wav,So she was lying to me?
twi_clips\twi_clip_019.wav,I don't even know what is wrong with that woman.
twi_clips\twi_clip_020.wav,"See how powerful pastor is,instead of the woman to be supportive,she is rather pulling him down."
twi_clips\twi_clip_021.wav,How can a pastor's wife lie like that?
twi_clips\twi_clip_022.wav,Uncle it's the pastor's wife you are talking about.
twi_clips\twi_clip_023.wav,Let me say it because she has done enough.
twi_clips\twi_clip_024.wav,Let me say it because she has done enough.
twi_clips\twi_clip_025.wav,You are in trouble and you need the pastor.
twi_clips\twi_clip_026.wav,"If he dies,it's because she lied to you."
twi_clips\twi_clip_027.wav,Just calm down.
twi_clips\twi_clip_028.wav,Don't go and sell anything. I will go and call the pastor myself.
twi_clips\twi_clip_029.wav,For him to come and pray for him.
twi_clips\twi_clip_030.wav,I don't know what to do.
twi_clips\twi_clip_031.wav,Hurry up then.
twi_clips\twi_clip_032.wav,Meaning you won't go back.
twi_clips\twi_clip_033.wav,Have a little rest.
twi_clips\twi_clip_034.wav,I will go there myself.
twi_clips\twi_clip_035.wav,I can't sleep.
twi_clips\twi_clip_036.wav,Don't think too much.
twi_clips\twi_clip_037.wav,ï»¿
twi_clips\twi_clip_038.wav,Please help me God.
twi_clips\twi_clip_039.wav,<< X* r '«. •‘A* j. .
twi_clips\twi_clip_040.wav,Knock in.
twi_clips\twi_clip_041.wav,Who is it?
twi_clips\twi_clip_042.wav,Itis me.
twi_clips\twi_clip_043.wav,I'm looking for pas o .
twi_clips\twi_clip_044.wav,He is n -aroundi
twi_clips\twi_clip_045.wav,"Please wher^wid 'fre^o??,;^"
twi_clips\twi_clip_046.wav,I said he is not aroufitL What^on'cerns.you with w'h’e‘r£' e'Wfirit?
twi_clips\twi_clip_047.wav,"What is it? We are in ,e that's why we came here,we need the pastor."
twi_clips\twi_clip_048.wav,So we have to see him/
twi_clips\twi_clip_049.wav,So we ha^eii^e^hirii;: 4'srm^
twi_clips\twi_clip_050.wav,You are in needjsjhe*the4iead of your zfahjiiy.^
twi_clips\twi_clip_051.wav,"Young lady,didn't i tell you he is not around?"
twi_clips\twi_clip_052.wav,Yes o i .
twi_clips\twi_clip_053.wav,So what are you doing here?
twi_clips\twi_clip_054.wav,My uncle said we should-come and c-hec-k if he is back'S x
twi_clips\twi_clip_055.wav,I said he is.not around.
twi_clips\twi_clip_056.wav,Meaning what my niece told bo t ou saying pastor is not around is true.
twi_clips\twi_clip_057.wav,But he is not around.
twi_clips\twi_clip_058.wav,"■^ ' i^/But he is not around,"
twi_clips\twi_clip_059.wav,I spoVe with pastor this morning and he told me he is at home;
twi_clips\twi_clip_060.wav,So why do you have to lie to her that he; is not around?
twi_clips\twi_clip_061.wav,So why do you have to lie_to her that he b Mi arwrj'J?
twi_clips\twi_clip_062.wav,What you are doing is not good.
twi_clips\twi_clip_063.wav,You will make me call you a witch with what you are doing.
twi_clips\twi_clip_064.wav,yer-y^'bdyknbw you in this town as pastor's wife;butiwhat''you are doing is very bad;
twi_clips\twi_clip_065.wav,You arecalling me a witch7
twi_clips\twi_clip_066.wav,Yesy/ou are a v.itGh.
twi_clips\twi_clip_067.wav,Let go of him.
twi_clips\twi_clip_068.wav,"ea e me alone,didn't you hear .'.hat he said?"
twi_clips\twi_clip_069.wav,V/hat do you tend to gain with what you are doing7
twi_clips\twi_clip_070.wav,lim gaining wirat you are seeing.
twi_clips\twi_clip_071.wav,"i,ou came because"
twi_clips\twi_clip_072.wav,ï»¿
twi_clips\twi_clip_073.wav,^‘n alrsidy ded-y'S'l sevyj da/s niiilng and prayers ry him.
twi_clips\twi_clip_074.wav,"Which will begin tomorrow,so a I of you should be,part of it."
twi_clips\twi_clip_075.wav,C^lnj down with nh^ rt: aaz h ggliy ml
twi_clips\twi_clip_076.wav,V/e are really working on 1.
twi_clips\twi_clip_077.wav,"I know by the time we finish this fasting ano prayers,God wi'l perform a miracle."
twi_clips\twi_clip_078.wav,PliiiEJjj foryhe me hr eJi mec he happened.
twi_clips\twi_clip_079.wav,Wi -jko ypolughzi for i/ir/wlng.
twi_clips\twi_clip_080.wav,/on //111 hear from us 9
twi_clips\twi_clip_081.wav,Sod dess you.
twi_clips\twi_clip_082.wav,Don step ■ in this house again.
twi_clips\twi_clip_083.wav,This is a mission house.
twi_clips\twi_clip_084.wav,And so wh
twi_clips\twi_clip_085.wav,So everyone can c-ome ere.
twi_clips\twi_clip_086.wav,It's for the church.
twi_clips\twi_clip_087.wav,You are making so much noise abo • r • and Christianity.
twi_clips\twi_clip_088.wav,You are allAvelc-omelo this meeting. ^
twi_clips\twi_clip_089.wav,.There are some st s going on i want to mak-! knwjirh /oil
