Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,﻿
twi_clips\twi_clip_002.wav,﻿
twi_clips\twi_clip_003.wav,﻿Man's ice water!
twi_clips\twi_clip_004.wav,﻿I am very wild today.
twi_clips\twi_clip_005.wav,﻿Won't you drink Water?
twi_clips\twi_clip_006.wav,﻿Ice water!
twi_clips\twi_clip_007.wav,﻿I'm buying two.
twi_clips\twi_clip_008.wav,﻿Life's hard but God is alive.
twi_clips\twi_clip_009.wav,﻿I have change.
twi_clips\twi_clip_010.wav,﻿How much is this?
twi_clips\twi_clip_011.wav,"﻿Please, which one?"
twi_clips\twi_clip_012.wav,﻿That's three Cedis.
twi_clips\twi_clip_013.wav,﻿I gave you one Cedi.
twi_clips\twi_clip_014.wav,"﻿Yes, you'll have to add some more."
twi_clips\twi_clip_015.wav,"﻿Please, would you change this for me?"
twi_clips\twi_clip_016.wav,﻿Don't take it away.
twi_clips\twi_clip_017.wav,"﻿No, I won't."
twi_clips\twi_clip_018.wav,﻿Or should I leave it on your car while I go looking for change?
twi_clips\twi_clip_019.wav,﻿No.
twi_clips\twi_clip_020.wav,"﻿Please, would you change five Cedis for me?"
twi_clips\twi_clip_021.wav,"﻿Please, excuse me."
twi_clips\twi_clip_022.wav,﻿1 am looking for change.
twi_clips\twi_clip_023.wav,"﻿Yes, do."
twi_clips\twi_clip_024.wav,"﻿Please, wh 'd give me change?"
twi_clips\twi_clip_025.wav,﻿
twi_clips\twi_clip_026.wav,"﻿Y Th^young man whosdrives^the water truck,"
twi_clips\twi_clip_027.wav,﻿
twi_clips\twi_clip_028.wav,﻿tell.me4if.he likes you solhaf I'S^end him to the north.
twi_clips\twi_clip_029.wav,﻿
twi_clips\twi_clip_030.wav,﻿
twi_clips\twi_clip_031.wav,﻿Gome and help them unload it!
twi_clips\twi_clip_032.wav,﻿
twi_clips\twi_clip_033.wav,﻿
twi_clips\twi_clip_034.wav,﻿
twi_clips\twi_clip_035.wav,﻿
twi_clips\twi_clip_036.wav,﻿
twi_clips\twi_clip_037.wav,﻿
twi_clips\twi_clip_038.wav,﻿tHeJi^^ck them!
twi_clips\twi_clip_039.wav,"﻿■ , ^1"
twi_clips\twi_clip_040.wav,﻿X
twi_clips\twi_clip_041.wav,﻿
twi_clips\twi_clip_042.wav,﻿
twi_clips\twi_clip_043.wav,"﻿Please, we still have some."
twi_clips\twi_clip_044.wav,﻿
twi_clips\twi_clip_045.wav,﻿
twi_clips\twi_clip_046.wav,﻿M»
twi_clips\twi_clip_047.wav,﻿
twi_clips\twi_clip_048.wav,﻿
twi_clips\twi_clip_049.wav,﻿
twi_clips\twi_clip_050.wav,"﻿i °0>°	^

6	' ""

—w< "" « *

r^t *'

I 71"
twi_clips\twi_clip_051.wav,﻿9
twi_clips\twi_clip_052.wav,"﻿God willing tomorrow morning,"
twi_clips\twi_clip_053.wav,"﻿the goods at KO,"
twi_clips\twi_clip_054.wav,"﻿their truck couldn't deliver them because it's developed a fault,"
twi_clips\twi_clip_055.wav,"﻿so please,.early in the tiiorning,"
twi_clips\twi_clip_056.wav,"﻿go and bring the goods here, okay?"
twi_clips\twi_clip_057.wav,﻿
twi_clips\twi_clip_058.wav,"﻿No, give us five Cedis!"
twi_clips\twi_clip_059.wav,﻿We've been working together for a long time now
twi_clips\twi_clip_060.wav,"﻿but sometimes you come and pretend as if we're not working together,"
twi_clips\twi_clip_061.wav,﻿we've been doing this for a long time.
twi_clips\twi_clip_062.wav,﻿You know there's not much profit in this water*business
twi_clips\twi_clip_063.wav,﻿we have to sell about fifty packs of Voltic before making a significant profit
twi_clips\twi_clip_064.wav,﻿s^please justaccepttftis one.
