Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,"﻿Bring the money.

You don't know me well>"
twi_clips\twi_clip_002.wav,﻿I will slap you into your bones / - Slap who ?
twi_clips\twi_clip_003.wav,﻿Give me the money.
twi_clips\twi_clip_004.wav,﻿Do you think being a Carrier makes me stupid?
twi_clips\twi_clip_005.wav,﻿
twi_clips\twi_clip_006.wav,﻿Am not that polite. - Don't tell me that /
twi_clips\twi_clip_007.wav,﻿Killer e'en Cobra to come here now.
twi_clips\twi_clip_008.wav,﻿Get up.
twi_clips\twi_clip_009.wav,﻿Let's take the chair away.
twi_clips\twi_clip_010.wav,﻿Call Cobra and Tifo to come here now.
twi_clips\twi_clip_011.wav,"﻿We beg you please , we didn't go to work today"
twi_clips\twi_clip_012.wav,"﻿We don't have money too.

-God willing tomorrow."
twi_clips\twi_clip_013.wav,﻿Thank you/
twi_clips\twi_clip_014.wav,﻿If you don't have the money know how to talk to us.
twi_clips\twi_clip_015.wav,﻿But she's talking to us any how.
twi_clips\twi_clip_016.wav,﻿
twi_clips\twi_clip_017.wav,﻿*
twi_clips\twi_clip_018.wav,﻿She's not a good person she can betray you.
twi_clips\twi_clip_019.wav,﻿She's full of pride and arrogant too.
twi_clips\twi_clip_020.wav,﻿
twi_clips\twi_clip_021.wav,﻿You have to be careful in life.
twi_clips\twi_clip_022.wav,﻿Just go/ When they come ..
twi_clips\twi_clip_023.wav,﻿
twi_clips\twi_clip_024.wav,﻿We don;t have anything to give you until they come.
twi_clips\twi_clip_025.wav,﻿\
twi_clips\twi_clip_026.wav,﻿Is this not.my chair ?
twi_clips\twi_clip_027.wav,﻿You went for my chair ?
twi_clips\twi_clip_028.wav,﻿Take the chair/
twi_clips\twi_clip_029.wav,﻿Go away with your stupidity.
twi_clips\twi_clip_030.wav,﻿Do you have to go for the chair ?
twi_clips\twi_clip_031.wav,﻿We shall deduct that from the money.
twi_clips\twi_clip_032.wav,﻿
twi_clips\twi_clip_033.wav,﻿You will pay.
twi_clips\twi_clip_034.wav,"﻿Let's take it away.

-That's all you know."
twi_clips\twi_clip_035.wav,﻿Take it away.
twi_clips\twi_clip_036.wav,﻿Sit on the groiTritl.
twi_clips\twi_clip_037.wav,﻿You have to be patient we're indebted to them
twi_clips\twi_clip_038.wav,﻿
twi_clips\twi_clip_039.wav,﻿
twi_clips\twi_clip_040.wav,﻿
twi_clips\twi_clip_041.wav,﻿
twi_clips\twi_clip_042.wav,﻿
twi_clips\twi_clip_043.wav,﻿
twi_clips\twi_clip_044.wav,﻿
twi_clips\twi_clip_045.wav,﻿If your urinal flows well it sets you free.
twi_clips\twi_clip_046.wav,﻿Things are flowing.
twi_clips\twi_clip_047.wav,﻿Am releasing things.
twi_clips\twi_clip_048.wav,﻿Urinating is enjoyable.
twi_clips\twi_clip_049.wav,﻿Am dropping things.
twi_clips\twi_clip_050.wav,﻿My brother.
twi_clips\twi_clip_051.wav,﻿My brother.
twi_clips\twi_clip_052.wav,﻿You've forgotten me.
twi_clips\twi_clip_053.wav,﻿Come in.
twi_clips\twi_clip_054.wav,﻿Let;s just make it snappy. -Is that so ?
twi_clips\twi_clip_055.wav,﻿Won't you sit down ? - No.
twi_clips\twi_clip_056.wav,﻿Won't you sit down ? - No.
twi_clips\twi_clip_057.wav,﻿The vehicle bringing my water yesterday had a fault.
twi_clips\twi_clip_058.wav,﻿The called me this morning.
twi_clips\twi_clip_059.wav,﻿The vehicle keys were with the lady that came from Bolga.
twi_clips\twi_clip_060.wav,﻿They called me severally.
twi_clips\twi_clip_061.wav,﻿She came to work as a labourer now that shehas got a bigger chance
twi_clips\twi_clip_062.wav,﻿She's misbehaving.
twi_clips\twi_clip_063.wav,﻿came to check on your daughter. How did it go at the Hosputal ?
twi_clips\twi_clip_064.wav,﻿By the grace of God she's fine.
twi_clips\twi_clip_065.wav,"﻿Thank you very much.

-Thanks be to God."
twi_clips\twi_clip_066.wav,﻿I was suppose to come and inform you of the outcome.
twi_clips\twi_clip_067.wav,﻿They gave her injection and drugs as soon as I took her there.
twi_clips\twi_clip_068.wav,﻿Dad who is it ?
twi_clips\twi_clip_069.wav,﻿;■ titimiii ui HH!H •»•••! Uli
twi_clips\twi_clip_070.wav,﻿You look healthy now after your Dad took you to the Hospital.
twi_clips\twi_clip_071.wav,﻿I NHHim ‘
twi_clips\twi_clip_072.wav,﻿Which Hospital ?
twi_clips\twi_clip_073.wav,﻿Your Dad took you to the Hospital/
twi_clips\twi_clip_074.wav,"﻿Yes please. -1 took her,"
twi_clips\twi_clip_075.wav,﻿I took her there and they took good care of her.
twi_clips\twi_clip_076.wav,﻿They gave her drugs and injection.
twi_clips\twi_clip_077.wav,﻿^
twi_clips\twi_clip_078.wav,﻿She's fine now with smiles onher face.
twi_clips\twi_clip_079.wav,﻿Was she given drugs ?
twi_clips\twi_clip_080.wav,﻿Yes they gave her drugs and injection.
twi_clips\twi_clip_081.wav,﻿Am feeling good today. - She's strong today.
twi_clips\twi_clip_082.wav,﻿Which Doctor took care of her ? - Doctor Opoku.
twi_clips\twi_clip_083.wav,﻿He's very good.
twi_clips\twi_clip_084.wav,﻿The young nurses there are very humble.
twi_clips\twi_clip_085.wav,﻿Their hospitality is enough to make your illness disappear.
twi_clips\twi_clip_086.wav,﻿miimi
twi_clips\twi_clip_087.wav,﻿Dr. Opoku has been very helpful to this community.
twi_clips\twi_clip_088.wav,﻿His bottle water is with me.
twi_clips\twi_clip_089.wav,﻿I will not take money from him when he comes for it.
twi_clips\twi_clip_090.wav,"﻿I will not deduct the 2 million

I gave your Dad from your salary."
twi_clips\twi_clip_091.wav,﻿It's a gift.
twi_clips\twi_clip_092.wav,﻿I did that because of the rapport we have.
twi_clips\twi_clip_093.wav,﻿You can't even do that ? - Boss thank you.
twi_clips\twi_clip_094.wav,﻿I know you're resting and can't come to work today.
twi_clips\twi_clip_095.wav,﻿Hope you can make it tomorrow. - Yes please.
twi_clips\twi_clip_096.wav,﻿I will ensure she comes tomorrow.
