Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,﻿
twi_clips\twi_clip_002.wav,﻿
twi_clips\twi_clip_003.wav,﻿
twi_clips\twi_clip_004.wav,﻿
twi_clips\twi_clip_005.wav,﻿
twi_clips\twi_clip_006.wav,﻿
twi_clips\twi_clip_007.wav,﻿So what are you laying?
twi_clips\twi_clip_008.wav,﻿Do you need a loan or you have money saved up?
twi_clips\twi_clip_009.wav,﻿What loan? ;
twi_clips\twi_clip_010.wav,﻿Do you have money?
twi_clips\twi_clip_011.wav,﻿That's why I'm asking her.
twi_clips\twi_clip_012.wav,﻿I haven't earned anything yet.
twi_clips\twi_clip_013.wav,﻿I can't get you a loan.
twi_clips\twi_clip_014.wav,﻿So you haven't saved money since you've been here?
twi_clips\twi_clip_015.wav,﻿
twi_clips\twi_clip_016.wav,﻿I've been searching too long foryou.
twi_clips\twi_clip_017.wav,﻿I even went to take my bath and changed..
twi_clips\twi_clip_018.wav,﻿Veyen went torake my-bath and changed.
twi_clips\twi_clip_019.wav,﻿A
twi_clips\twi_clip_020.wav,"﻿'I^ven^back tiiere where we usually sit,"
twi_clips\twi_clip_021.wav,"﻿I went back there where we usually sit,"
twi_clips\twi_clip_022.wav,﻿but you weren't there so I came here.
twi_clips\twi_clip_023.wav,﻿You know we co me.to sit here in the evenings.
twi_clips\twi_clip_024.wav,﻿I've broughjtjgue ts.
twi_clips\twi_clip_025.wav,﻿What does it mean?
twi_clips\twi_clip_026.wav,﻿Is he a child or an adult?
twi_clips\twi_clip_027.wav,﻿Their sad story...
twi_clips\twi_clip_028.wav,﻿on my work back from work
twi_clips\twi_clip_029.wav,"﻿they told me they haven't eaten since morning so I should buy food for them,"
twi_clips\twi_clip_030.wav,﻿
twi_clips\twi_clip_031.wav,﻿
twi_clips\twi_clip_032.wav,﻿I immediately developed goosebumps.
twi_clips\twi_clip_033.wav,﻿When you look at how small this boy is.
twi_clips\twi_clip_034.wav,﻿I used the little I'd made to buy food for them.
twi_clips\twi_clip_035.wav,﻿I asked them to go but they told me they had nowhere to stay.
twi_clips\twi_clip_036.wav,﻿So I'm now stuck with them.
twi_clips\twi_clip_037.wav,﻿I told them to come with me since I live with my sisters
twi_clips\twi_clip_038.wav,"﻿how warmly they welcomed me the first day I met them,"
twi_clips\twi_clip_039.wav,﻿I couldn't abandon these children.
twi_clips\twi_clip_040.wav,﻿I
twi_clips\twi_clip_041.wav,﻿I brought them here to stay with us.
twi_clips\twi_clip_042.wav,"﻿When we carry our pans,"
twi_clips\twi_clip_043.wav,﻿we'll definetly get something to eat.
twi_clips\twi_clip_044.wav,﻿
twi_clips\twi_clip_045.wav,﻿'I
twi_clips\twi_clip_046.wav,﻿So thatis that#
twi_clips\twi_clip_047.wav,﻿The world is a sad place.
twi_clips\twi_clip_048.wav,﻿It's okay.
twi_clips\twi_clip_049.wav,﻿You know that we don't own the place where we live.
twi_clips\twi_clip_050.wav,﻿We all came empty-handed.
twi_clips\twi_clip_051.wav,"﻿It's okay, let's welcome them to live with us."
twi_clips\twi_clip_052.wav,﻿You know that we can't feed you
twi_clips\twi_clip_053.wav,﻿but so long as you carry your pan
twi_clips\twi_clip_054.wav,"﻿even if you don't have one,"
twi_clips\twi_clip_055.wav,﻿if someone won't go to work then you plead with her
twi_clips\twi_clip_056.wav,﻿to let you use it so that you'd get .something to eat.
twi_clips\twi_clip_057.wav,﻿I believe they can stay with us.
twi_clips\twi_clip_058.wav,﻿
twi_clips\twi_clip_059.wav,﻿
twi_clips\twi_clip_060.wav,﻿
twi_clips\twi_clip_061.wav,﻿
twi_clips\twi_clip_062.wav,﻿What does this boy know?
twi_clips\twi_clip_063.wav,﻿He's a male.
