Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,"﻿*

* A V

s '"
twi_clips\twi_clip_002.wav,﻿
twi_clips\twi_clip_003.wav,"﻿, You’ll get better, mother."
twi_clips\twi_clip_004.wav,﻿Don^t wprry so much.
twi_clips\twi_clip_005.wav,﻿
twi_clips\twi_clip_006.wav,﻿
twi_clips\twi_clip_007.wav,﻿^W^v^
twi_clips\twi_clip_008.wav,﻿
twi_clips\twi_clip_009.wav,﻿Blindness is the worse form of sickness.
twi_clips\twi_clip_010.wav,"﻿^5

^1^"
twi_clips\twi_clip_011.wav,﻿
twi_clips\twi_clip_012.wav,﻿
twi_clips\twi_clip_013.wav,﻿Sisterand I will take very good care of you.
twi_clips\twi_clip_014.wav,﻿
twi_clips\twi_clip_015.wav,﻿
twi_clips\twi_clip_016.wav,﻿
twi_clips\twi_clip_017.wav,﻿
twi_clips\twi_clip_018.wav,"﻿I

I I’

i"
twi_clips\twi_clip_019.wav,﻿
twi_clips\twi_clip_020.wav,﻿
twi_clips\twi_clip_021.wav,﻿
twi_clips\twi_clip_022.wav,﻿(
twi_clips\twi_clip_023.wav,﻿^ Tire's something I warjt*h^iscus^ you.
twi_clips\twi_clip_024.wav,﻿You want t®
twi_clips\twi_clip_025.wav,﻿Go on and^ell me.
twi_clips\twi_clip_026.wav,﻿I can't live in this town anymore!
twi_clips\twi_clip_027.wav,﻿I want to move to the city to find a lucrative job to do.
twi_clips\twi_clip_028.wav,"﻿Mother, buying your medicine and food,"
twi_clips\twi_clip_029.wav,﻿it has become difficult.
twi_clips\twi_clip_030.wav,﻿We've lost our farm and all our crops.
twi_clips\twi_clip_031.wav,"﻿Please, allow me to go and find a lucrative job in the city"
twi_clips\twi_clip_032.wav,﻿so that I can come and take care of you and my sister.
twi_clips\twi_clip_033.wav,﻿So why have you forsaken me?
twi_clips\twi_clip_034.wav,﻿The other day Jesus said to Peter that
twi_clips\twi_clip_035.wav,﻿e cock did not crow three ti esand • ' Ire y b trayed m
twi_clips\twi_clip_036.wav,﻿I am not forsaking you.
twi_clips\twi_clip_037.wav,"﻿Yes, you have."
twi_clips\twi_clip_038.wav,﻿You are leaving me for the city so who'll take care of me?
twi_clips\twi_clip_039.wav,﻿You've forsaken me.
twi_clips\twi_clip_040.wav,"﻿When I was healt y,"
twi_clips\twi_clip_041.wav,﻿you never once told me you were traveling to the city.
twi_clips\twi_clip_042.wav,"﻿Today that I am sick,"
