Twi Audio Clip,English Text
twi_clips\twi_clip_001.wav,﻿
twi_clips\twi_clip_002.wav,﻿
twi_clips\twi_clip_003.wav,﻿why are you quiet
twi_clips\twi_clip_004.wav,﻿why
twi_clips\twi_clip_005.wav,﻿thpy have give it to me
twi_clips\twi_clip_006.wav,﻿
twi_clips\twi_clip_007.wav,"﻿am sad , kdon’t no if I should laugh"
twi_clips\twi_clip_008.wav,﻿or cry
twi_clips\twi_clip_009.wav,﻿I d&n’t know what to do
twi_clips\twi_clip_010.wav,﻿they have give it to you - Yes
twi_clips\twi_clip_011.wav,﻿thgre are two conditions
twi_clips\twi_clip_012.wav,﻿which conditions ?
twi_clips\twi_clip_013.wav,﻿they said before they can give;me the contract
twi_clips\twi_clip_014.wav,﻿I have to bring a property papers
twi_clips\twi_clip_015.wav,﻿you knpw Ldon’Whave some
twi_clips\twi_clip_016.wav,﻿that was what I was thinking of
twi_clips\twi_clip_017.wav,﻿and you know I don’t have anyone to go to
twi_clips\twi_clip_018.wav,﻿what show if you give them the papers they will give it to you
twi_clips\twi_clip_019.wav,﻿the haye sure me
twi_clips\twi_clip_020.wav,﻿have you ask Anabel
twi_clips\twi_clip_021.wav,﻿am more friend to you then her
twi_clips\twi_clip_022.wav,﻿
twi_clips\twi_clip_023.wav,﻿if only they will give it to you
twi_clips\twi_clip_024.wav,﻿yes
twi_clips\twi_clip_025.wav,﻿stop joking
twi_clips\twi_clip_026.wav,﻿is only papers
twi_clips\twi_clip_027.wav,﻿if you get the contract you will bring it back
twi_clips\twi_clip_028.wav,﻿stop joking
twi_clips\twi_clip_029.wav,﻿y^u are my sister'
twi_clips\twi_clip_030.wav,﻿God bless you
twi_clips\twi_clip_031.wav,﻿because of that I was not able-to eat or sleep
twi_clips\twi_clip_032.wav,﻿if I ggj the contract
twi_clips\twi_clip_033.wav,﻿it will be 50 50
twi_clips\twi_clip_034.wav,﻿wh’aj 50 50 - please
twi_clips\twi_clip_035.wav,﻿God bless you am so happy
twi_clips\twi_clip_036.wav,﻿
twi_clips\twi_clip_037.wav,﻿
twi_clips\twi_clip_038.wav,﻿Gan-you take care of me
twi_clips\twi_clip_039.wav,﻿
twi_clips\twi_clip_040.wav,﻿
twi_clips\twi_clip_041.wav,﻿look at how I took care of you
twi_clips\twi_clip_042.wav,﻿
twi_clips\twi_clip_043.wav,﻿I spent mach on you
twi_clips\twi_clip_044.wav,﻿if you have give your self a chance to marry you
twi_clips\twi_clip_045.wav,﻿will men be playing with you
twi_clips\twi_clip_046.wav,﻿
twi_clips\twi_clip_047.wav,﻿what many men don’t wont to see is many men around a woman
twi_clips\twi_clip_048.wav,﻿
twi_clips\twi_clip_049.wav,﻿
twi_clips\twi_clip_050.wav,﻿I
twi_clips\twi_clip_051.wav,﻿
twi_clips\twi_clip_052.wav,﻿
twi_clips\twi_clip_053.wav,﻿what have I done?
twi_clips\twi_clip_054.wav,﻿-^
twi_clips\twi_clip_055.wav,﻿you have given you self for men and you said am the working on you
twi_clips\twi_clip_056.wav,﻿what are you saying
twi_clips\twi_clip_057.wav,﻿
twi_clips\twi_clip_058.wav,﻿
twi_clips\twi_clip_059.wav,﻿what will happy if your sister stay here with you
twi_clips\twi_clip_060.wav,﻿
twi_clips\twi_clip_061.wav,﻿what do you want from her
twi_clips\twi_clip_062.wav,﻿can’t you take care of your sister
twi_clips\twi_clip_063.wav,﻿
twi_clips\twi_clip_064.wav,﻿so she should come and stay with me in the village
twi_clips\twi_clip_065.wav,﻿
twi_clips\twi_clip_066.wav,﻿you did not even gave her money
twi_clips\twi_clip_067.wav,﻿
twi_clips\twi_clip_068.wav,﻿
twi_clips\twi_clip_069.wav,﻿
